id,date,store_nbr,item_nbr,unit_sales,onpromotion
61769,2013-01-03,26,517615,2.0,
32260,2013-01-02,43,1071928,24.0,
82199,2013-01-03,54,872306,2.0,
36290,2013-01-02,47,371218,4.0,
78449,2013-01-03,48,1047698,4.0,
60055,2013-01-03,24,464333,5.0,
45948,2013-01-03,4,617103,14.0,
28177,2013-01-02,37,1091366,8.0,
84463,2013-01-04,3,205486,7.0,
578,2013-01-02,1,103665,2.0,
30959,2013-01-02,41,314881,1.0,
64290,2013-01-03,30,1044592,1.0,
14531,2013-01-02,15,732007,2.0,
17933,2013-01-02,23,162066,3.0,
33608,2013-01-02,45,155621,6.0,
49959,2013-01-03,8,457928,17.443,
66598,2013-01-03,34,414620,45.0,
99089,2013-01-04,23,464263,3.0,
34451,2013-01-02,45,872309,1.0,
34080,2013-01-02,45,567623,54.0,
63587,2013-01-03,28,871511,26.0,
4293,2013-01-02,4,464336,2.0,
69102,2013-01-03,38,464374,11.0,
86411,2013-01-04,4,959437,1.0,
99476,2013-01-04,23,938125,1.0,
53929,2013-01-03,13,108797,6.0,
87070,2013-01-04,5,617096,7.0,
65083,2013-01-03,31,1080756,4.0,
30712,2013-01-02,40,1024976,3.0,
49182,2013-01-03,7,789224,21.0,
57234,2013-01-03,17,953609,3.0,
15663,2013-01-02,17,269029,28.0,
19966,2013-01-02,25,305229,17.0,
91912,2013-01-04,10,322094,5.0,
91957,2013-01-04,10,401817,2.0,
81346,2013-01-03,51,793341,8.0,
55325,2013-01-03,15,258395,2.0,
29857,2013-01-02,39,844795,7.0,
71222,2013-01-03,40,1047685,8.0,
52458,2013-01-03,11,261700,12.0,
88345,2013-01-04,6,848953,2.0,
82363,2013-01-04,1,108698,1.0,
65349,2013-01-03,32,521818,5.0,
59649,2013-01-03,23,1079254,1.0,
44952,2013-01-03,3,754103,5.0,
39525,2013-01-02,50,165594,7.0,
13935,2013-01-02,14,872310,1.0,
93780,2013-01-04,12,830797,3.0,
89884,2013-01-04,8,305227,11.0,
81143,2013-01-03,51,559872,4.0,
95799,2013-01-04,15,843585,3.0,
89404,2013-01-04,7,853195,3.0,
55223,2013-01-03,15,108786,15.0,
73645,2013-01-03,44,888761,51.0,
66293,2013-01-03,33,1080001,2.0,
65539,2013-01-03,32,911871,6.0,
28110,2013-01-02,37,1047703,2.0,
41928,2013-01-02,54,564110,19.0,
86546,2013-01-04,4,1089079,1.0,
82585,2013-01-04,1,352513,5.0,
38603,2013-01-02,49,368260,2.0,
91657,2013-01-04,9,1037845,11.0,
62786,2013-01-03,27,860548,2.0,
84340,2013-01-04,2,1102268,1.0,
39874,2013-01-02,50,472314,5.0,
78468,2013-01-03,48,1047773,6.0,
31631,2013-01-02,41,1074327,23.0,
14952,2013-01-02,16,308085,2.0,
39331,2013-01-02,49,1047681,25.0,
48587,2013-01-03,7,122419,1.0,
83594,2013-01-04,2,368419,2.0,
41487,2013-01-02,51,982726,4.0,
39627,2013-01-02,50,265086,2.0,
87894,2013-01-04,6,407769,9.0,
26303,2013-01-02,34,828632,4.0,
67403,2013-01-03,35,567579,1.0,
98084,2013-01-04,18,1024975,3.0,
95601,2013-01-04,15,517615,3.0,
5019,2013-01-02,5,164647,17.0,
5223,2013-01-02,5,362035,5.0,
15780,2013-01-02,17,414421,5.0,
45556,2013-01-03,4,219150,48.0,
12896,2013-01-02,13,310671,14.0,
34304,2013-01-02,45,793341,18.0,
93322,2013-01-04,12,114778,1.0,
5324,2013-01-02,5,463458,15.0,
52925,2013-01-03,11,801934,4.0,
62864,2013-01-03,27,939210,3.0,
8018,2013-01-02,7,987308,15.0,
82944,2013-01-04,1,781794,10.0,
90376,2013-01-04,8,771157,2.0,
41720,2013-01-02,54,215304,1.0,
866,2013-01-02,1,368140,6.0,
98443,2013-01-04,19,559870,12.0,
83039,2013-01-04,1,850334,2.0,
13924,2013-01-02,14,862454,35.0,
79892,2013-01-03,50,358231,10.0,
31183,2013-01-02,41,567588,11.0,
13799,2013-01-02,14,655744,1.0,
40988,2013-01-02,51,507927,1.0,
66733,2013-01-03,34,583977,10.751,
78330,2013-01-03,48,938566,31.0,
24378,2013-01-02,31,926958,4.0,
23414,2013-01-02,30,514446,1.0,
97559,2013-01-04,18,310671,10.0,
22992,2013-01-02,28,932281,1.0,
3231,2013-01-02,3,567623,59.0,
41995,2013-01-02,54,683721,2.0,
49187,2013-01-03,7,795610,1.0,
22514,2013-01-02,28,320682,20.0,
21325,2013-01-02,26,1037846,11.0,
86233,2013-01-04,4,823245,8.0,
88126,2013-01-04,6,634008,13.068,
29823,2013-01-02,39,828204,19.0,
92484,2013-01-04,11,211203,2.0,
68424,2013-01-03,37,844019,2.632,
64483,2013-01-03,31,273859,2.0,
51019,2013-01-03,9,414353,29.0,
26753,2013-01-02,35,406965,1.0,
49963,2013-01-03,8,459804,5.0,
42731,2013-01-03,1,586969,2.0,
29056,2013-01-02,38,999547,28.0,
55317,2013-01-03,15,246052,2.0,
35496,2013-01-02,46,783243,15.0,
56337,2013-01-03,16,671051,3.0,
79277,2013-01-03,49,841612,11.0,
5464,2013-01-02,5,583968,32.614,
70155,2013-01-03,39,573832,2.0,
70669,2013-01-03,40,155610,6.0,
56013,2013-01-03,16,215352,11.0,
12085,2013-01-02,12,129759,1.0,
56818,2013-01-03,17,346066,2.0,
20000,2013-01-02,25,319094,1.0,
69066,2013-01-03,38,418024,1.0,
50452,2013-01-03,8,908741,1.0,
90709,2013-01-04,8,1047681,10.0,
52884,2013-01-03,11,751759,8.0,
30963,2013-01-02,41,315277,10.0,
34573,2013-01-02,45,964848,2.0,
15294,2013-01-02,16,804932,3.0,
27918,2013-01-02,37,862213,4.0,
46120,2013-01-03,4,839367,12.0,
35073,2013-01-02,46,358515,11.0,
10550,2013-01-02,10,308766,3.0,
91127,2013-01-04,9,413987,16.0,
690,2013-01-02,1,211999,2.0,
77729,2013-01-03,48,346066,2.0,
36096,2013-01-02,47,215370,12.0,
65351,2013-01-03,32,551893,3.0,
11040,2013-01-02,10,1057515,4.0,
4221,2013-01-02,4,378332,1.0,
821,2013-01-02,1,323921,13.0,
38128,2013-01-02,48,1004550,5.0,
89151,2013-01-04,7,581742,4.0,
29231,2013-01-02,39,158956,26.0,
50556,2013-01-03,8,1014865,13.0,
33684,2013-01-02,45,215896,28.0,
58753,2013-01-03,19,1047707,3.0,
27022,2013-01-02,35,938567,20.0,
36905,2013-01-02,47,921042,18.0,
270,2013-01-01,25,583968,1.612,
8866,2013-01-02,8,724360,8.0,
15006,2013-01-02,16,358272,7.0,
4688,2013-01-02,4,872309,4.0,
81995,2013-01-03,54,513853,4.0,
84372,2013-01-04,3,108862,3.0,
2514,2013-01-02,2,953562,3.0,
36399,2013-01-02,47,472645,12.0,
38868,2013-01-02,49,637016,15.0,
58244,2013-01-03,19,179579,1.0,
30409,2013-01-02,40,517904,4.0,
54794,2013-01-03,14,457471,9.0,
19263,2013-01-02,24,578467,1.0,
83909,2013-01-04,2,724360,3.0,
26973,2013-01-02,35,847859,17.0,
7129,2013-01-02,7,114799,2.0,
7144,2013-01-02,7,119024,23.0,
45465,2013-01-03,4,119624,17.0,
1966,2013-01-02,2,454593,2.0,
15152,2013-01-02,16,564274,6.0,
19113,2013-01-02,24,414426,5.0,
76206,2013-01-03,46,1064018,3.0,
32141,2013-01-02,43,872308,2.0,
21934,2013-01-02,27,724359,9.0,
40359,2013-01-02,50,938567,23.0,
53841,2013-01-03,12,1021281,7.0,
9162,2013-01-02,8,940592,17.0,
87843,2013-01-04,6,362548,9.0,
37629,2013-01-02,48,521818,8.0,
83304,2013-01-04,1,1114749,1.0,
66269,2013-01-03,33,1047790,12.0,
34653,2013-01-02,45,1047690,120.0,
41962,2013-01-02,54,617113,4.0,
39590,2013-01-02,50,222879,67.0,
81035,2013-01-03,51,414752,10.0,
10980,2013-01-02,10,964752,9.0,
56299,2013-01-03,16,586824,3.0,
61548,2013-01-03,26,168989,1.0,
88400,2013-01-04,6,882624,4.0,
44323,2013-01-03,3,158788,14.0,
55207,2013-01-03,14,1091368,20.0,
53527,2013-01-03,12,517904,5.0,
26970,2013-01-02,35,843462,5.0,
73217,2013-01-03,44,517909,6.139,
65890,2013-01-03,33,463598,2.0,
42221,2013-01-02,54,1079220,1.0,
97865,2013-01-04,18,700610,2.0,
12250,2013-01-02,12,362548,26.0,
69436,2013-01-03,38,847863,20.0,
38432,2013-01-02,49,224081,5.0,
40889,2013-01-02,51,374464,10.0,
30998,2013-01-02,41,358264,7.0,
56145,2013-01-03,16,371130,11.0,
95413,2013-01-04,15,265254,22.0,
22155,2013-01-02,27,939130,3.0,
17613,2013-01-02,19,749421,9.0,
56443,2013-01-03,16,841614,3.0,
98399,2013-01-04,19,464334,4.0,
24052,2013-01-02,31,470625,5.0,
50242,2013-01-03,8,752987,6.0,
58998,2013-01-03,23,305344,4.0,
31344,2013-01-02,41,793345,4.0,
61241,2013-01-03,25,838217,8.0,
92529,2013-01-04,11,260628,9.0,
80828,2013-01-03,51,215370,11.0,
51725,2013-01-03,10,158789,17.0,
33879,2013-01-02,45,371437,3.0,
83006,2013-01-04,1,838415,4.0,
73908,2013-01-03,44,1089163,10.0,
67246,2013-01-03,35,269084,1.0,
88807,2013-01-04,7,227111,8.0,
13121,2013-01-02,13,627263,4.0,
8257,2013-01-02,8,159156,103.45,
93380,2013-01-04,12,214859,1.0,
13914,2013-01-02,14,850333,17.0,
30902,2013-01-02,41,255161,5.0,
72858,2013-01-03,44,215331,50.0,
20292,2013-01-02,25,724498,7.0,
58170,2013-01-03,18,1089046,2.0,
20949,2013-01-02,26,556698,1.0,
36694,2013-01-02,47,779122,8.0,
8525,2013-01-02,8,376483,10.0,
78271,2013-01-03,48,875604,14.0,
77402,2013-01-03,47,1075891,4.0,
77651,2013-01-03,48,268440,7.0,
99836,2013-01-04,24,269084,4.0,
92271,2013-01-04,10,940591,4.0,
29775,2013-01-02,39,759698,2.0,
34807,2013-01-02,46,115891,15.0,
16885,2013-01-02,18,754103,2.0,
49983,2013-01-03,8,468058,6.0,
62614,2013-01-03,27,658609,2.0,
14228,2013-01-02,15,268446,15.0,
52176,2013-01-03,10,876663,13.0,
8028,2013-01-02,7,999546,25.0,
28921,2013-01-02,38,858872,11.0,
69419,2013-01-03,38,841612,5.0,
70811,2013-01-03,40,363868,4.0,
34363,2013-01-02,45,838216,69.0,
43203,2013-01-03,1,1102268,7.0,
36794,2013-01-02,47,843610,15.0,
97026,2013-01-04,17,583977,5.394,
63342,2013-01-03,28,551893,3.0,
36955,2013-01-02,47,954553,9.0,
69228,2013-01-03,38,619969,17.0,
9423,2013-01-02,9,119187,8.0,
86000,2013-01-04,4,557286,4.0,
16958,2013-01-02,18,839362,43.0,
21614,2013-01-02,27,318932,2.0,
61461,2013-01-03,25,1080001,4.0,
61773,2013-01-03,26,519560,5.829,
86801,2013-01-04,5,323013,24.0,
67502,2013-01-03,35,802832,1.0,
79370,2013-01-03,49,906979,4.0,
34496,2013-01-02,45,908741,1.0,
43008,2013-01-03,1,911989,7.0,
91597,2013-01-04,9,946671,4.0,
75438,2013-01-03,46,364738,75.0,
29719,2013-01-02,39,673415,1.0,
38606,2013-01-02,49,368624,2.0,
77126,2013-01-03,47,850545,1.0,
97087,2013-01-04,17,699689,10.236,
24626,2013-01-02,32,262991,1.0,
61814,2013-01-03,26,577741,5.0,
69755,2013-01-03,39,159242,6.0,
11930,2013-01-02,11,1014864,1.0,
16160,2013-01-02,17,949297,7.0,
47439,2013-01-03,6,108952,2.0,
34605,2013-01-02,45,1003679,10.0,
14106,2013-01-02,15,108952,7.0,
90650,2013-01-04,8,988459,50.129,
98434,2013-01-04,19,521818,1.0,
17502,2013-01-02,19,517906,4.0,
63485,2013-01-03,28,759890,5.0,
33075,2013-01-02,44,804974,1.0,
79808,2013-01-03,50,268623,32.0,
90790,2013-01-04,8,1089045,1.0,
93364,2013-01-04,12,174081,6.0,
18292,2013-01-02,23,564288,2.0,
43849,2013-01-03,2,759651,3.0,
35067,2013-01-02,46,357996,24.0,
61392,2013-01-03,25,1004545,1.0,
27381,2013-01-02,37,321798,9.0,
85413,2013-01-04,3,1038950,10.0,
13797,2013-01-02,14,651326,2.0,
1728,2013-01-02,2,215370,6.0,
66100,2013-01-03,33,828630,23.0,
7677,2013-01-02,7,673306,10.0,
73314,2013-01-03,44,592801,3.0,
69695,2013-01-03,38,1105212,28.0,
5438,2013-01-02,5,568133,1.0,
73380,2013-01-03,44,679926,19.0,
34590,2013-01-02,45,986193,14.0,
8452,2013-01-02,8,319095,15.0,
6234,2013-01-02,6,318932,23.0,
56579,2013-01-03,16,1047709,3.0,
44068,2013-01-03,2,940585,2.0,
73661,2013-01-03,44,906979,32.0,
18241,2013-01-02,23,508947,8.0,
72559,2013-01-03,43,870544,5.0,
11372,2013-01-02,11,368419,6.0,
53067,2013-01-03,11,939663,25.0,
54396,2013-01-03,13,870545,15.0,
60743,2013-01-03,25,158842,2.0,
4232,2013-01-02,4,407608,5.0,
66149,2013-01-03,33,866927,10.0,
226,2013-01-01,25,514327,7.0,
38050,2013-01-02,48,933780,4.0,
75830,2013-01-03,46,781797,9.0,
11712,2013-01-02,11,783243,30.0,
89798,2013-01-04,8,214860,5.0,
84721,2013-01-04,3,410257,75.0,
11650,2013-01-02,11,692537,5.0,
63792,2013-01-03,28,1109390,3.0,
18331,2013-01-02,23,587069,20.0,
59464,2013-01-03,23,870544,10.0,
31838,2013-01-02,43,322095,17.0,
35887,2013-01-02,46,1074327,58.0,
70557,2013-01-03,39,1047717,7.0,
68841,2013-01-03,38,212550,2.0,
44299,2013-01-03,3,122425,2.0,
39431,2013-01-02,49,1096235,78.0,
71757,2013-01-03,41,740723,1.0,
51266,2013-01-03,9,691945,4.0,
49808,2013-01-03,8,315221,5.0,
86688,2013-01-04,5,215468,6.0,
61004,2013-01-03,25,508947,3.0,
60770,2013-01-03,25,173113,4.0,
87,2013-01-01,25,262358,1.0,
77203,2013-01-03,47,913967,4.0,
51987,2013-01-03,10,564110,10.0,
82149,2013-01-03,54,820003,3.933,
43733,2013-01-03,2,584028,90.283,
95181,2013-01-04,14,939129,7.0,
88476,2013-01-04,6,949629,1.0,
62005,2013-01-03,26,864510,15.0,
30883,2013-01-02,41,215352,34.0,
50766,2013-01-03,9,165704,7.0,
74955,2013-01-03,45,981655,1.0,
12750,2013-01-02,12,1091368,12.0,
36506,2013-01-02,47,577743,8.0,
9937,2013-01-02,9,638977,74.0,
18373,2013-01-02,23,671062,5.0,
92220,2013-01-04,10,870544,1.0,
90729,2013-01-04,8,1047751,7.0,
12396,2013-01-02,12,567778,2.0,
94921,2013-01-04,14,522941,2.0,
33801,2013-01-02,45,315279,13.0,
1230,2013-01-02,1,799461,1.0,
20334,2013-01-02,25,789905,14.0,
78043,2013-01-03,48,668753,1.0,
40350,2013-01-02,50,932281,7.0,
50862,2013-01-03,9,265672,1.0,
65409,2013-01-03,32,671062,3.0,
98465,2013-01-04,19,580929,4.0,
83942,2013-01-04,2,769312,18.0,
35640,2013-01-02,46,871118,15.886,
76609,2013-01-03,47,372480,7.0,
1045,2013-01-02,1,564533,22.0,
97795,2013-01-04,18,580929,2.0,
5937,2013-01-02,5,1080756,6.0,
57687,2013-01-03,18,464334,7.0,
7895,2013-01-02,7,871421,6.0,
87484,2013-01-04,5,1047734,7.0,
17570,2013-01-02,19,638977,14.0,
53064,2013-01-03,11,939207,16.0,
11141,2013-01-02,11,155621,1.0,
96936,2013-01-04,17,464263,7.0,
50490,2013-01-03,8,939210,5.0,
33222,2013-01-02,44,884878,106.0,
82506,2013-01-04,1,265086,4.0,
36296,2013-01-02,47,372924,27.0,
67924,2013-01-03,37,315473,8.0,
94404,2013-01-04,13,793346,3.0,
84992,2013-01-04,3,671083,3.0,
62122,2013-01-03,26,1040170,1.0,
65743,2013-01-03,33,264751,1.0,
40246,2013-01-02,50,844017,4.0,
16361,2013-01-02,18,179579,1.0,
55938,2013-01-03,16,108079,1.0,
28674,2013-01-02,38,583797,1.33,
23957,2013-01-02,31,362035,17.0,
7858,2013-01-02,7,849080,10.0,
94212,2013-01-04,13,417763,8.0,
63351,2013-01-03,28,557408,2.0,
50198,2013-01-03,8,691945,12.0,
55238,2013-01-03,15,115893,9.0,
98340,2013-01-04,19,364865,2.0,
13705,2013-01-02,14,510054,11.0,
13579,2013-01-02,14,315474,28.0,
34570,2013-01-02,45,959502,4.0,
93621,2013-01-04,12,559044,1.0,
2104,2013-01-02,2,570917,10.0,
74360,2013-01-03,45,459762,25.0,
85888,2013-01-04,4,414888,4.0,
99906,2013-01-04,24,358096,2.0,
56429,2013-01-03,16,838407,1.0,
86502,2013-01-04,4,1052563,13.0,
12469,2013-01-02,12,686035,1.0,
14778,2013-01-02,15,1079215,7.0,
27543,2013-01-02,37,502331,61.0,
97976,2013-01-04,18,862213,5.0,
46122,2013-01-03,4,841197,10.0,
49368,2013-01-03,7,938659,2.0,
1332,2013-01-02,1,866927,6.0,
2360,2013-01-02,2,841841,13.0,
82417,2013-01-04,1,159242,9.0,
45148,2013-01-03,3,888763,3.0,
7841,2013-01-02,7,841842,13.0,
86290,2013-01-04,4,850334,3.0,
36034,2013-01-02,47,164647,21.0,
18145,2013-01-02,23,401817,16.0,
70745,2013-01-03,40,264305,10.0,
78803,2013-01-03,49,357963,20.0,
94235,2013-01-04,13,463598,2.0,
52490,2013-01-03,11,302824,5.0,
88894,2013-01-04,7,315474,8.0,
59268,2013-01-03,23,617763,1.0,
19662,2013-01-02,24,996122,2.0,
49825,2013-01-03,8,319094,3.0,
1322,2013-01-02,1,859932,7.0,
37623,2013-01-02,48,517905,28.0,
20086,2013-01-02,25,421066,4.0,
88365,2013-01-04,6,859529,2.0,
92895,2013-01-04,11,651326,1.0,
69587,2013-01-03,38,1012787,3.0,
26586,2013-01-02,35,116017,31.0,
39878,2013-01-02,50,476261,8.0,
75298,2013-01-03,46,252970,23.0,
53978,2013-01-03,13,208530,6.989,
49673,2013-01-03,8,209085,4.0,
75961,2013-01-03,46,862213,2.0,
25355,2013-01-02,33,514172,14.0,
27733,2013-01-02,37,696183,2.0,
18005,2013-01-02,23,258376,10.0,
22672,2013-01-02,28,517615,2.0,
50380,2013-01-03,8,849139,3.0,
59038,2013-01-03,23,329071,1.0,
43444,2013-01-03,2,315279,1.0,
2280,2013-01-02,2,789223,4.0,
77964,2013-01-03,48,570917,12.0,
96125,2013-01-04,16,273528,49.0,
77647,2013-01-03,48,265279,2.0,
31431,2013-01-02,41,856687,23.0,
31922,2013-01-02,43,471985,3.0,
15808,2013-01-02,17,457928,48.274,
85541,2013-01-04,3,1109326,23.0,
15495,2013-01-02,16,1079214,5.0,
77431,2013-01-03,47,1089079,3.0,
57936,2013-01-03,18,819227,1.97,
18949,2013-01-02,24,262991,11.0,
22583,2013-01-02,28,407542,2.0,
6748,2013-01-02,6,838406,3.0,
80573,2013-01-03,50,1010752,3.0,
53070,2013-01-03,11,940592,5.0,
1402,2013-01-02,1,938657,5.0,
37781,2013-01-02,48,683723,3.0,
64679,2013-01-03,31,552050,1.0,
79960,2013-01-03,50,407769,7.0,
23787,2013-01-02,31,159242,8.0,
30418,2013-01-02,40,551893,6.0,
59034,2013-01-03,23,322094,5.0,
20330,2013-01-02,25,783243,9.0,
95652,2013-01-04,15,584123,5.694,
883,2013-01-02,1,378332,1.0,
41515,2013-01-02,51,1018617,2.0,
14038,2013-01-02,14,1047695,100.0,
44969,2013-01-03,3,765519,1.0,
32865,2013-01-02,44,582865,74.553,
79368,2013-01-03,49,903286,58.846,
3253,2013-01-02,3,577745,6.0,
2937,2013-01-02,3,310671,37.0,
36838,2013-01-02,47,868529,78.0,
25039,2013-01-02,32,1079214,2.0,
23394,2013-01-02,30,470762,2.0,
81992,2013-01-03,54,510054,6.0,
56293,2013-01-03,16,584030,2.371,
1318,2013-01-02,1,852938,4.0,
95284,2013-01-04,14,1085686,10.0,
32592,2013-01-02,44,357996,12.0,
86253,2013-01-04,4,838832,3.0,
79994,2013-01-03,50,452212,8.0,
63780,2013-01-03,28,1098624,6.0,
37108,2013-01-02,47,1079329,7.0,
1349,2013-01-02,1,881912,3.0,
4790,2013-01-02,4,988459,19.062,
96594,2013-01-04,16,1047396,9.0,
87444,2013-01-04,5,1009512,4.0,
87607,2013-01-04,6,119141,1.0,
84333,2013-01-04,2,1089844,5.0,
58134,2013-01-03,18,1047773,5.0,
18634,2013-01-02,23,953562,1.0,
3393,2013-01-02,3,740713,15.0,
72228,2013-01-03,43,305234,12.0,
37587,2013-01-02,48,476261,4.0,
11446,2013-01-02,11,463458,1.0,
92168,2013-01-04,10,812726,4.0,
33054,2013-01-02,44,789224,29.0,
93268,2013-01-04,11,1080756,2.0,
59808,2013-01-03,24,219147,5.0,
61577,2013-01-03,26,219150,19.0,
49660,2013-01-03,8,179564,2.0,
11060,2013-01-02,10,1083518,2.0,
1550,2013-01-02,1,1079254,6.0,
80750,2013-01-03,51,123927,2.0,
4510,2013-01-02,4,724403,1.0,
26438,2013-01-02,34,964752,2.0,
86708,2013-01-04,5,253145,2.0,
83003,2013-01-04,1,838409,3.0,
80166,2013-01-03,50,619965,8.0,
48078,2013-01-03,6,740722,8.0,
16301,2013-01-02,18,115850,8.0,
17494,2013-01-02,19,514327,3.0,
85698,2013-01-04,4,258268,13.0,
61705,2013-01-03,26,414353,12.0,
49148,2013-01-03,7,742738,12.0,
70172,2013-01-03,39,584125,9.579,
96222,2013-01-04,16,413557,6.0,
52412,2013-01-03,11,212552,5.0,
97493,2013-01-04,18,221506,2.0,
9093,2013-01-02,8,886067,12.0,
6267,2013-01-02,6,360704,14.0,
81823,2013-01-03,54,219150,19.0,
40203,2013-01-02,50,828204,40.0,
69325,2013-01-03,38,759698,2.0,
57862,2013-01-03,18,700609,9.0,
52991,2013-01-03,11,862454,53.0,
89245,2013-01-04,7,692537,8.0,
26873,2013-01-02,35,638240,2.0,
62596,2013-01-03,27,617103,2.0,
47745,2013-01-03,6,372369,1.0,
40990,2013-01-02,51,508069,8.0,
13928,2013-01-02,14,867850,7.0,
94953,2013-01-04,14,581078,21.0,
18742,2013-01-02,23,1071949,3.0,
1057,2013-01-02,1,572838,5.0,
4337,2013-01-02,4,514597,5.0,
34170,2013-01-02,45,651326,3.0,
96505,2013-01-04,16,874598,3.0,
2029,2013-01-02,2,510054,30.0,
1430,2013-01-02,1,957098,5.0,
35083,2013-01-02,46,362548,22.0,
33931,2013-01-02,45,418024,5.0,
55375,2013-01-03,15,314881,10.0,
22824,2013-01-02,28,749421,24.0,
73646,2013-01-03,44,888763,20.0,
25269,2013-01-02,33,374464,4.0,
64034,2013-01-03,30,513853,1.0,
14805,2013-01-02,15,1102975,1.0,
60297,2013-01-03,24,759651,6.0,
50078,2013-01-03,8,567588,17.0,
31591,2013-01-02,41,1044592,2.0,
585,2013-01-02,1,108696,3.0,
36904,2013-01-02,47,916886,33.0,
21332,2013-01-02,26,1047682,8.0,
39456,2013-01-02,50,106716,9.0,
12533,2013-01-02,12,812725,4.0,
40815,2013-01-02,51,315463,27.0,
68316,2013-01-03,37,759697,5.0,
42917,2013-01-03,1,841514,4.0,
5215,2013-01-02,5,358519,1.0,
83012,2013-01-04,1,839544,2.0,
40199,2013-01-02,50,820645,5.0,
64273,2013-01-03,30,991331,4.0,
88543,2013-01-04,6,1037846,2.0,
833,2013-01-02,1,358096,2.0,
41272,2013-01-02,51,813167,2.0,
79342,2013-01-03,49,881701,5.0,
35015,2013-01-02,46,310671,50.0,
66702,2013-01-03,34,559873,5.0,
65643,2013-01-03,33,108797,4.0,
18485,2013-01-02,23,819231,0.406,
33333,2013-01-02,44,964753,52.0,
13551,2013-01-02,14,302997,14.0,
95260,2013-01-04,14,1053943,1.0,
17672,2013-01-02,19,838842,5.0,
23145,2013-01-02,28,1109390,1.0,
61129,2013-01-03,25,671051,9.0,
69840,2013-01-03,39,264305,42.0,
96986,2013-01-04,17,557257,2.0,
35753,2013-01-02,46,954805,15.0,
33459,2013-01-02,44,1062374,4.74,
14268,2013-01-02,15,315474,22.0,
22186,2013-01-02,27,959437,12.0,
15022,2013-01-02,16,368136,16.0,
11968,2013-01-02,11,1047733,36.0,
28565,2013-01-02,38,464334,12.0,
25841,2013-01-02,34,211999,2.0,
278,2013-01-01,25,587069,1.0,
76182,2013-01-03,46,1047755,16.0,
6148,2013-01-02,6,261053,29.0,
61296,2013-01-03,25,871421,1.0,
77959,2013-01-03,48,567778,9.0,
14149,2013-01-02,15,165988,35.0,
47139,2013-01-03,5,849098,10.0,
29517,2013-01-02,39,426155,5.0,
10049,2013-01-02,9,771156,15.0,
53345,2013-01-03,12,265237,6.0,
75309,2013-01-03,46,258537,13.0,
20612,2013-01-02,25,1093786,1.0,
34286,2013-01-02,45,769314,42.0,
59396,2013-01-03,23,813760,2.0,
38720,2013-01-02,49,502230,27.0,
31120,2013-01-02,41,502224,2.0,
46499,2013-01-03,5,170791,13.0,
31418,2013-01-02,41,848953,2.0,
1572,2013-01-02,1,1089844,8.0,
78056,2013-01-03,48,673415,10.0,
53083,2013-01-03,11,962600,3.0,
27805,2013-01-02,37,793345,1.0,
96810,2013-01-04,17,308924,1.0,
97649,2013-01-04,18,404334,7.0,
